,dec_0_self_dot_ratio_norm,dec_1_self_dot_ratio_norm,dec_2_self_dot_ratio_norm,dec_3_self_dot_ratio_norm,dec_4_self_dot_ratio_norm,dec_5_self_dot_ratio_norm,dec_6_self_dot_ratio_norm,dec_7_self_dot_ratio_norm
25167,0.0014226354,0.001422715,0.0014226227,0.0014226981,0.0014227413,0.0014226146,0.001422687,0.0014226122
25168,0.001410261,0.00141007,0.0014101049,0.0014100791,0.0014100741,0.0014100183,0.0014100651,0.0014101549
25169,0.0014165104,0.0014162641,0.0014162071,0.0014164123,0.001416267,0.001416292,0.0014162163,0.0014162452
25170,0.0014034949,0.001403509,0.0014036132,0.001403395,0.0014034726,0.0014035675,0.0014035143,0.001403547
25171,0.0014173805,0.0014174252,0.0014176747,0.0014174267,0.0014175856,0.0014174046,0.0014175787,0.0014175925
25172,0.001409265,0.0014092195,0.0014092315,0.0014093815,0.0014093266,0.0014093241,0.00140932,0.001409312
25173,0.0014180662,0.0014180595,0.0014180739,0.0014180396,0.0014179735,0.0014179843,0.0014181096,0.0014180847
25174,0.0014199688,0.001420004,0.0014201539,0.0014202102,0.0014201942,0.0014201562,0.0014199866,0.0014200432
25175,0.0014065275,0.0014064929,0.0014063622,0.0014062996,0.001406475,0.00140637,0.0014063581,0.0014064636
25176,0.0014051349,0.001405142,0.0014052662,0.0014052866,0.0014053296,0.0014052114,0.0014053846,0.0014052825
25177,0.001426277,0.0014260603,0.0014261048,0.0014260972,0.0014261627,0.001425993,0.0014261121,0.0014260754
25178,0.0014160223,0.0014159671,0.0014160256,0.0014161156,0.0014159444,0.0014159053,0.0014161005,0.0014160423
25179,0.0014206131,0.0014206046,0.0014206892,0.001420638,0.0014206674,0.0014206102,0.001420617,0.0014206666
25180,0.0014197754,0.0014197642,0.0014196236,0.0014194874,0.0014197087,0.0014196225,0.0014195878,0.0014197297
25181,0.0014127127,0.0014127681,0.0014125459,0.0014127664,0.0014125402,0.0014126049,0.0014126003,0.0014125946
25182,0.0014127147,0.001412714,0.0014126408,0.0014125637,0.0014125492,0.0014126344,0.0014125722,0.0014124644
25183,0.0014044548,0.0014041224,0.0014041555,0.0014042997,0.0014040873,0.0014043706,0.0014042298,0.0014041684
25184,0.0014341039,0.0014341326,0.0014340009,0.001434035,0.0014340677,0.0014341251,0.0014341294,0.0014340929
25185,0.001405687,0.0014058183,0.0014057748,0.0014057467,0.0014056792,0.0014059228,0.0014058233,0.001405723
25186,0.0014093621,0.0014093927,0.0014094407,0.0014093654,0.0014093147,0.0014092786,0.0014092351,0.0014092398
25187,0.0014186745,0.0014186185,0.001418702,0.001418581,0.0014186036,0.0014185781,0.0014185354,0.0014184192
25188,0.0014149292,0.0014147835,0.0014148313,0.0014148008,0.0014147734,0.0014148053,0.0014148618,0.0014148534
25189,0.0014138353,0.0014138998,0.0014139316,0.0014138898,0.0014137891,0.0014139072,0.0014139063,0.0014139041
25190,0.001421033,0.001420979,0.001420941,0.001420805,0.001420916,0.0014208633,0.0014209279,0.0014209417
25191,0.001427244,0.0014273295,0.0014272296,0.0014273216,0.0014272471,0.0014272657,0.0014272939,0.0014272286
25192,0.0014151888,0.0014151417,0.0014150932,0.0014151947,0.0014151977,0.0014151158,0.0014152707,0.0014151759
25193,0.0014124782,0.0014124709,0.0014124531,0.0014126188,0.0014124184,0.0014125629,0.0014124858,0.0014123908
25194,0.0014102255,0.0014102152,0.0014103022,0.0014101889,0.001410222,0.0014100621,0.0014100166,0.0014100852
25195,0.0014167374,0.0014167624,0.0014169423,0.001416824,0.0014166888,0.0014168028,0.0014167824,0.0014166838
25196,0.0014108012,0.0014107391,0.0014107203,0.0014108012,0.0014106585,0.0014107788,0.001410803,0.0014108175
25197,0.0014141118,0.0014140833,0.0014141158,0.0014139778,0.0014140864,0.0014141296,0.0014141501,0.0014140637
25198,0.0014159427,0.0014157754,0.0014155762,0.0014157791,0.0014155848,0.0014156882,0.0014158197,0.0014158285
25199,0.0014142328,0.001414067,0.0014141212,0.0014142581,0.0014142053,0.0014140793,0.0014141427,0.0014140591
25200,0.0014111117,0.0014111779,0.0014112374,0.0014110762,0.00141112,0.0014110913,0.0014111266,0.0014111184
25201,0.0014174186,0.0014174826,0.0014174158,0.0014175911,0.0014174157,0.0014174117,0.0014173924,0.0014174236
25202,0.0014124875,0.0014124227,0.0014124436,0.0014124569,0.0014124638,0.0014124158,0.0014124912,0.0014124035
25203,0.0014132729,0.0014133205,0.0014133904,0.0014134527,0.0014134313,0.0014133897,0.001413496,0.0014135472
25204,0.0014066624,0.0014065948,0.0014066692,0.0014065865,0.0014066448,0.0014066343,0.0014065981,0.0014067034
25205,0.001428953,0.0014290705,0.0014291069,0.0014288886,0.0014290285,0.0014289332,0.0014289876,0.0014289094
25206,0.0014206504,0.0014206818,0.0014205999,0.0014206937,0.0014206306,0.0014207936,0.0014206636,0.0014206831
25207,0.00142147,0.001421477,0.0014213792,0.001421274,0.0014214057,0.001421433,0.0014213294,0.0014214872
25208,0.0014171075,0.0014171101,0.0014172784,0.0014172187,0.0014172411,0.0014170952,0.0014171766,0.0014173185
25209,0.0014178955,0.001417775,0.0014177257,0.0014179677,0.0014176685,0.0014176909,0.0014178228,0.0014177657
25210,0.0014233235,0.0014232214,0.001423328,0.0014231578,0.0014232701,0.0014232204,0.0014231546,0.0014233597
25211,0.0014305257,0.0014303547,0.0014303972,0.001430244,0.0014304343,0.0014303161,0.001430542,0.0014304626
25212,0.001404536,0.0014044127,0.0014044201,0.0014044839,0.00140462,0.0014043977,0.001404326,0.001404393
25213,0.0014077597,0.0014078005,0.0014079747,0.0014079452,0.0014077944,0.0014079236,0.0014079757,0.0014077493
25214,0.0014259731,0.0014259221,0.0014260326,0.0014259614,0.0014260148,0.0014259497,0.0014260233,0.0014258934
25215,0.0014244143,0.0014244287,0.0014242533,0.0014242834,0.001424447,0.0014244299,0.0014242865,0.0014243735
25216,0.0014029202,0.0014030511,0.0014031592,0.001403321,0.0014027773,0.0014028079,0.001402913,0.0014029925
25217,0.0014195227,0.0014193364,0.0014194512,0.0014193879,0.0014194476,0.0014194591,0.0014193935,0.0014193356
25218,0.00141939,0.0014191176,0.0014192899,0.0014192647,0.0014191839,0.0014193184,0.0014193535,0.0014193474
25219,0.0014187422,0.0014187655,0.0014188637,0.0014186816,0.0014187761,0.0014187506,0.0014186839,0.0014186878
25220,0.0014285607,0.001428511,0.001428482,0.0014284031,0.0014284082,0.001428403,0.0014283845,0.001428518
25221,0.0014061779,0.001406144,0.0014062803,0.001405902,0.0014060402,0.0014061308,0.0014060927,0.0014059534
25222,0.0014204406,0.0014203457,0.0014203057,0.00142033,0.001420284,0.001420456,0.0014203598,0.0014204717
25223,0.0014196848,0.001419719,0.0014196739,0.0014196968,0.001419596,0.0014196543,0.0014196251,0.001419822
25224,0.0014169766,0.0014170203,0.0014169414,0.001417016,0.0014170452,0.0014170035,0.0014169052,0.00141694
25225,0.0014128225,0.0014128892,0.0014130838,0.0014129665,0.001412906,0.0014129739,0.0014129395,0.0014129038
25226,0.0014174609,0.0014174336,0.0014174404,0.0014172678,0.0014174646,0.0014173198,0.0014173358,0.0014173558
25227,0.0014228408,0.0014227608,0.0014227481,0.001422667,0.0014226466,0.0014226093,0.0014225567,0.0014226119
25228,0.00142783,0.001427788,0.0014278238,0.0014277869,0.0014277854,0.0014278182,0.0014279055,0.0014276996
25229,0.001404675,0.001404612,0.001404568,0.0014046715,0.001404585,0.0014044932,0.0014044627,0.0014044913
25230,0.001421516,0.0014214743,0.001421631,0.0014215738,0.0014215702,0.0014215376,0.0014214965,0.0014215591
25231,0.0014133966,0.0014134536,0.0014132988,0.001413476,0.0014134232,0.001413382,0.00141343,0.0014134415
25232,0.0014178888,0.0014176884,0.0014177116,0.00141772,0.0014177623,0.0014178079,0.0014176955,0.0014177583
25233,0.0014065574,0.0014064943,0.0014065938,0.0014065405,0.0014065485,0.0014064633,0.0014064765,0.0014065122
25234,0.0014198353,0.001419716,0.0014197263,0.0014197653,0.0014196306,0.0014196346,0.0014195421,0.001419522
25235,0.0014248434,0.0014246752,0.0014248147,0.0014247542,0.0014246429,0.0014247744,0.0014248008,0.0014248311
25236,0.0014164291,0.001416389,0.0014163322,0.001416422,0.0014163534,0.0014163933,0.0014164287,0.0014163788
25237,0.001412564,0.0014128771,0.0014127231,0.0014128062,0.0014128784,0.0014129627,0.0014128634,0.0014127978
