feature_id,llama32-3B-Instruct_ckpt_0_contrib_mean_scaled_with_decoder_norm,llama32-3B-Instruct_ckpt_120_contrib_mean_scaled_with_decoder_norm,llama32-3B-Instruct_ckpt_240_contrib_mean_scaled_with_decoder_norm,llama32-3B-Instruct_ckpt_360_contrib_mean_scaled_with_decoder_norm,llama32-3B-Instruct_ckpt_480_contrib_mean_scaled_with_decoder_norm,llama32-3B-Instruct_ckpt_600_contrib_mean_scaled_with_decoder_norm,llama32-3B-Instruct_ckpt_720_contrib_mean_scaled_with_decoder_norm,llama32-3B-Instruct_ckpt_840_contrib_mean_scaled_with_decoder_norm
20296,0.724956214428,0.723600983620,0.728857755661,0.739042818546,0.742101669312,0.747602760792,0.746594488621,0.745077013969
20297,0.734031379223,0.727098941803,0.721741437912,0.713966548443,0.721786558628,0.721492588520,0.724150896072,0.722611606121
20298,0.745029032230,0.727425396442,0.720302402973,0.720406651497,0.726875364780,0.722334802151,0.723633170128,0.718991696835
20299,1.419939994812,1.419947028160,1.407911777496,1.401282429695,1.405713558197,1.406105518341,1.406114697456,1.395155310631
20300,0.840664863586,0.839490056038,0.830899953842,0.833081781864,0.830091655254,0.827464044094,0.826913177967,0.825936555862
20301,0.843306899071,0.847904086113,0.845114231110,0.844747006893,0.848152935505,0.854031682014,0.853745937347,0.852136671543
20302,0.720940887928,0.733828783035,0.754209280014,0.754725754261,0.759482920170,0.758020877838,0.769352197647,0.766273617744
20303,1.589190244675,1.596775650978,1.609343528748,1.616369962692,1.615686655045,1.614746928215,1.620439052582,1.608855009079
20304,0.816400647163,0.805862367153,0.791391551495,0.779616177082,0.788145065308,0.768884062767,0.771531879902,0.770238459110
20305,0.794383287430,0.782470464706,0.766173660755,0.751619994640,0.761321365833,0.741501033306,0.743227422237,0.739741444588
20306,0.755175054073,0.761561870575,0.761383891106,0.760830581188,0.766517758369,0.770543694496,0.773101270199,0.770734071732
20307,0.834895372391,0.818274796009,0.790599346161,0.770576655865,0.775005161762,0.768959105015,0.764565765858,0.769223332405
20308,0.755665302277,0.760536789894,0.765324056149,0.780691385269,0.781710803509,0.791021883488,0.794887244701,0.789565861225
20309,0.790117383003,0.794481515884,0.794290959835,0.778443574905,0.779170870781,0.777553141117,0.774992406368,0.775892078876
20310,1.742435932159,1.725166440010,1.700934886932,1.685754895210,1.682015419006,1.694004058838,1.688176512718,1.686150312424
20311,0.730305910110,0.720138907433,0.722719252110,0.713048279285,0.718423306942,0.721008956432,0.726704239845,0.726041495800
20312,0.735984146595,0.739457368851,0.743046343327,0.741282761097,0.741084456444,0.742224216461,0.742140054703,0.739622116089
20313,0.825573980808,0.819777667522,0.818330645561,0.830456852913,0.834327697754,0.841185629368,0.847281754017,0.846639990807
20314,1.791161656380,1.784531950951,1.772959470749,1.762344360352,1.766503095627,1.763778686523,1.768339276314,1.769012212753
20315,0.730949282646,0.741357147694,0.752070188522,0.757172524929,0.757177889347,0.763965249062,0.770537257195,0.758136808872
20316,2.251791954041,2.238481760025,2.227526903152,2.223202705383,2.215345382690,2.217908382416,2.220232248306,2.215083599091
20317,0.818724036217,0.810996770859,0.797128319740,0.789742290974,0.801419675350,0.795061111450,0.789951384068,0.798788845539
20318,0.747533440590,0.752352833748,0.759203195572,0.763956665993,0.761772513390,0.750696837902,0.754728972912,0.750902831554
20319,0.737694203854,0.718976020813,0.707263767719,0.689903736115,0.694524228573,0.703181684017,0.708259403706,0.707925379276
20320,0.761693418026,0.749922275543,0.737876594067,0.725279390812,0.722876548767,0.718774974346,0.719597458839,0.715007781982
20321,0.808185756207,0.808317124844,0.801882028580,0.787594258785,0.794789969921,0.786409616470,0.783924818039,0.784477233887
20322,0.749799668789,0.741139471531,0.741029083729,0.748384296894,0.762011229992,0.766282379627,0.765081107616,0.766418337822
20323,0.811380624771,0.795687854290,0.785703659058,0.769223511219,0.770174145699,0.767237544060,0.764139115810,0.763295769691
20324,0.733332216740,0.729478538036,0.724156498909,0.716755747795,0.714713215828,0.710691869259,0.707807779312,0.707070529461
20325,1.784098267555,1.762753844261,1.740494728088,1.713531732559,1.704548597336,1.712557196617,1.703199028969,1.703852415085
20326,0.765323102474,0.760290980339,0.749171972275,0.741355955601,0.740430891514,0.746149957180,0.744842290878,0.745891332626
20327,0.761620104313,0.770161092281,0.778856396675,0.773664414883,0.781646609306,0.771933674812,0.778799295425,0.777893602848
20328,0.792187273502,0.777365803719,0.760975062847,0.749805331230,0.749385952950,0.748120963573,0.741955459118,0.745820522308
20329,1.554298281670,1.549262285233,1.536161780357,1.519497871399,1.528744816780,1.532467961311,1.529205322266,1.523746490479
20330,0.707192480564,0.712113559246,0.723986566067,0.739002466202,0.740425646305,0.755916714668,0.761480987072,0.757803738117
20331,0.774023473263,0.765683174133,0.751768827438,0.739375829697,0.751337289810,0.745755672455,0.747027993202,0.746016263962
20332,0.795653760433,0.782950043678,0.762687146664,0.750247657299,0.751104950905,0.744530737400,0.745900869370,0.737211585045
20333,0.815089762211,0.806914031506,0.807737171650,0.799415409565,0.806145787239,0.796430766582,0.791628003120,0.794460356236
20334,1.932292699814,1.920847058296,1.905156731606,1.893403530121,1.890962004662,1.881943225861,1.882617831230,1.876977324486
20335,0.731445908546,0.725314259529,0.726198256016,0.722458839417,0.725716173649,0.716377377510,0.722083628178,0.720370292664
20336,0.776436507702,0.766279935837,0.759331047535,0.759700238705,0.760339558125,0.763789296150,0.766831278801,0.758523762226
20337,0.781778693199,0.780676245689,0.781353592873,0.778035998344,0.779668033123,0.774978458881,0.774761855602,0.767882585526
20338,0.829479575157,0.830325186253,0.826926529408,0.823588013649,0.822548210621,0.829318761826,0.827760100365,0.821908831596
20339,0.787026464939,0.781762599945,0.769707620144,0.759667515755,0.764018774033,0.765346109867,0.763804852962,0.767009377480
20340,0.772802472115,0.760657429695,0.750900030136,0.752684891224,0.751611411572,0.751888215542,0.755512118340,0.746073246002
20341,0.720970153809,0.710780799389,0.697233796120,0.686531782150,0.686299324036,0.681643605232,0.677910566330,0.679732501507
20342,0.778066098690,0.768467485905,0.765377044678,0.761451065540,0.760770738125,0.760388791561,0.762251794338,0.760782718658
20343,0.838347256184,0.820820271969,0.797571897507,0.786575973034,0.799907982349,0.798887491226,0.796235084534,0.800477743149
20344,0.803624749184,0.814746141434,0.814463853836,0.821473717690,0.831290721893,0.833545744419,0.834764480591,0.830428063869
20345,0.761441409588,0.769024193287,0.764802575111,0.763766229153,0.772263824940,0.783307790756,0.783323109150,0.781908333302
20346,0.738573849201,0.740542113781,0.747650504112,0.746983647346,0.750878036022,0.741328597069,0.745037853718,0.739763200283
20347,1.924834012985,1.923575758934,1.913766860962,1.910163521767,1.911595821381,1.898877739906,1.903543472290,1.893582820892
20348,0.800224661827,0.797665536404,0.795626342297,0.784425795078,0.791902482510,0.793059945107,0.788132905960,0.783541083336
20349,0.808665990829,0.808323025703,0.797794044018,0.800745725632,0.800315558910,0.800711333752,0.802972435951,0.801358938217
20350,0.748121142387,0.753424048424,0.762356698513,0.759150326252,0.762692332268,0.772055983543,0.778299391270,0.776518583298
20351,0.770945668221,0.773823857307,0.777182340622,0.775828540325,0.778635263443,0.763560891151,0.767540514469,0.766987562180
20352,0.790113270283,0.795259654522,0.787461876869,0.793149352074,0.793044805527,0.793130576611,0.794769287109,0.794309973717
20353,0.843486607075,0.835972309113,0.827398359776,0.805172145367,0.807812690735,0.818938255310,0.816673278809,0.822313785553
20354,0.774615585804,0.778910696507,0.782290577888,0.781055271626,0.784235417843,0.779550075531,0.779791295528,0.780923426151
20355,1.711365818977,1.709383249283,1.712958931923,1.707556605339,1.710608601570,1.713219761848,1.721419692039,1.717761039734
20356,1.914954662323,1.934412360191,1.933345675468,1.941804289818,1.942554712296,1.959920406342,1.962356567383,1.956892132759
20357,2.283781766891,2.284911394119,2.276630163193,2.263048171997,2.263193130493,2.258023023605,2.257947206497,2.258843421936
20358,0.780050992966,0.769563496113,0.763006985188,0.751303255558,0.753898203373,0.761946797371,0.759219825268,0.763578236103
