feature_id,llama32-3B-Instruct_ckpt_0_contrib_mean_scaled_with_decoder_norm,llama32-3B-Instruct_ckpt_120_contrib_mean_scaled_with_decoder_norm,llama32-3B-Instruct_ckpt_240_contrib_mean_scaled_with_decoder_norm,llama32-3B-Instruct_ckpt_360_contrib_mean_scaled_with_decoder_norm
72321,0.007553561125,0.004976820666,0.003503960092,0.004767976701
72322,0.009211055003,0.005957674701,0.005638036877,0.006471852772
72323,0.020976817235,0.020264420658,0.020819433033,0.020650403574
72324,0.031138457358,0.027136819437,0.027000030503,0.026718275622
72325,0.025048917159,0.021735930815,0.020427441224,0.021224675700
72326,0.013487962075,0.008954186924,0.007936075330,0.006862220820
72327,0.023066515103,0.019061030820,0.019269790500,0.019577620551
72328,0.031402856112,0.028297381476,0.026652006432,0.025443525985
72329,0.015951000154,0.012542973273,0.011289569549,0.011101998389
72330,0.027129529044,0.023124625906,0.021120090038,0.020150743425
72331,0.018525565043,0.016844691709,0.017430344597,0.017037184909
72332,0.021650604904,0.020025292411,0.020170779899,0.020252527669
72333,0.014922054484,0.011831187643,0.009080296382,0.010280910879
72334,0.004049268086,0.001133004320,0.001173258526,0.001545441337
72335,0.023961648345,0.020990375429,0.020571390167,0.019550599158
72336,0.015290098265,0.011167677119,0.011578752659,0.012104843743
72337,0.025456694886,0.020780064166,0.019735535607,0.020469753072
72338,0.027000648901,0.020748360083,0.018289813772,0.016719888896
72339,0.015663299710,0.008335161954,0.005682931747,0.005856615026
72340,0.030737267807,0.026616042480,0.025977721438,0.024298476055
72341,0.026239132509,0.021276835352,0.018892763183,0.018390526995
72342,0.021179761738,0.019543791190,0.020257981494,0.019987532869
72343,0.028955683112,0.023446379229,0.019936991856,0.019237015396
72344,0.023549996316,0.020436773077,0.021001473069,0.021174613386
72345,0.012323259376,0.005602252204,0.005240820348,0.006246486679
72346,0.028455775231,0.026008345187,0.025492986664,0.025685966015
72347,0.012194125913,0.011289971881,0.013240482658,0.012706050649
72348,0.015921520069,0.006962426472,0.005340040661,0.005280376412
72349,0.017634132877,0.015092651360,0.016150891781,0.016750829294
72350,0.017606381327,0.012631582096,0.012063970789,0.011798560619
72351,0.008966528811,0.003322180593,0.002338071587,0.002543457085
72352,0.025989893824,0.023852886632,0.023573901504,0.023695986718
72353,0.006382564548,0.005296029616,0.005245837383,0.005303671118
72354,0.023561583832,0.020495073870,0.018798725680,0.019936125726
72355,0.021610954776,0.020106079057,0.022290021181,0.022159483284
72356,0.008962922730,0.004298605956,0.003478213213,0.003746008733
72357,0.007643390913,0.003235175507,0.002336191246,0.002633998636
72358,0.022088598460,0.019872996956,0.020581301302,0.020788801834
72359,0.033944912255,0.030115634203,0.027757873759,0.026871278882
72360,0.005950284190,0.002685993677,0.002439388307,0.003193105571
72361,0.018362961709,0.017507558689,0.016445113346,0.016755145043
72362,0.029708119109,0.026426618919,0.025701362640,0.025778796524
72363,0.021675664932,0.017861342058,0.016555778682,0.016008025035
72364,0.018670918420,0.013203639537,0.012753226794,0.012321464717
72365,0.032236997038,0.030536809936,0.029868451878,0.030650615692
72366,0.013074282557,0.008855159394,0.006731717847,0.006557791028
72367,0.027332583442,0.024637570605,0.024812497199,0.024433346465
72368,0.026747012511,0.025028478354,0.024930901825,0.025227818638
72369,0.039821002632,0.036771353334,0.036591596901,0.034858997911
72370,0.018407767639,0.014554523863,0.017583519220,0.020544394851
72371,0.001837156480,0.000946596090,0.001694872393,0.002623983426
72372,0.030657025054,0.027897462249,0.028575135395,0.029373159632
72373,0.019838022068,0.016351861879,0.016863873228,0.016892746091
72374,0.029774732888,0.025821434334,0.024337539449,0.024368839338
72375,0.019095713273,0.017660314217,0.017982697114,0.018304059282
72376,0.024199068546,0.021754613146,0.019545417279,0.020805489272
72377,0.025979613885,0.022864814848,0.022618822753,0.022176023573
72378,0.012954468839,0.008218284696,0.006666066125,0.006352577824
72379,0.020137945190,0.017105296254,0.017068808898,0.017603237182
72380,0.008002754301,0.003742525820,0.002727169776,0.003175462829
72381,0.004995368887,0.001353302039,0.000904004322,0.001577142160
72382,0.029754051939,0.028070883825,0.028193686157,0.028158666566
72383,0.033812239766,0.031788203865,0.030065760016,0.028795529157
72384,0.006163097452,0.001037602662,0.000478961068,0.000277794519
72385,0.027538707480,0.023272080347,0.023162653670,0.023132767528
72386,0.001807395951,0.000184403048,0.000089471534,0.000207276695
72387,0.027290185913,0.026632113382,0.027341343462,0.026911536232
72388,0.006909116171,0.002325636800,0.001895912690,0.001928003388
72389,0.032406095415,0.030349323526,0.028619393706,0.028866464272
72390,0.031368397176,0.027870250866,0.027194421738,0.026404062286
