feature_id,llama32-3B-Instruct_ckpt_0_contrib_mean,llama32-3B-Instruct_ckpt_120_contrib_mean,llama32-3B-Instruct_ckpt_240_contrib_mean,llama32-3B-Instruct_ckpt_360_contrib_mean
163,0.004665748682,0.000816854765,0.000069737849,0.001085999771
164,0.067823380232,0.054351482540,0.055354177952,0.056226201355
165,0.017002338544,0.007299490739,0.006146837026,0.006508268882
166,0.027114177123,0.012408569455,0.005480099935,0.002140683122
167,0.129740655422,0.117137752473,0.120273113251,0.122329853475
168,0.120380938053,0.109095796943,0.105759322643,0.109053052962
169,0.083541698754,0.071024648845,0.070505879819,0.074462950230
170,0.097606375813,0.088452458382,0.086023345590,0.082352705300
171,0.029715880752,0.017412602901,0.015030855313,0.017564965412
172,0.148623213172,0.135870710015,0.131900191307,0.131932854652
173,0.110935181379,0.099880620837,0.100210033357,0.101265124977
174,0.150116935372,0.134900137782,0.126830801368,0.124091967940
175,0.003522906685,0.000047648238,0.000053412379,0.001642005867
176,0.161354199052,0.142514616251,0.140756905079,0.139690265059
177,0.006883531809,0.000874750258,0.000716950046,0.000514775049
178,0.091044723988,0.082906305790,0.084846012294,0.085371591151
179,0.009123245254,0.003490687814,0.001776768942,0.003127496922
180,0.062981486320,0.056901365519,0.062902346253,0.067463032901
181,0.030838893726,0.019091734663,0.019729683176,0.019543664530
182,0.095880679786,0.091756910086,0.090481020510,0.090118065476
183,0.009745650925,0.002861778717,0.001380890259,0.001667246222
184,0.156291574240,0.147325962782,0.146566376090,0.147922575474
185,0.105899058282,0.097327254713,0.099604696035,0.101110585034
186,0.131247460842,0.109936051071,0.108432680368,0.109554335475
187,0.083840094507,0.076071269810,0.084509067237,0.082215368748
188,0.019214760512,0.007883030921,0.008837475441,0.007874686271
189,0.078721955419,0.069807104766,0.067019954324,0.069604456425
190,0.095212556422,0.081342712045,0.078973241150,0.079877570271
191,0.047890644521,0.038597043604,0.031764067709,0.025975521654
192,0.109497547150,0.100851200521,0.100350171328,0.099753931165
193,0.115288421512,0.105730019510,0.098911285400,0.092871181667
194,0.021877814084,0.013944645412,0.017220269889,0.017029302195
195,0.005002823193,0.000813724822,0.001356948982,0.001142063993
196,0.060403771698,0.049260053784,0.051364779472,0.052399538457
197,0.088735543191,0.074925273657,0.072865284979,0.070426382124
198,0.094557270408,0.085324585438,0.085341893137,0.087041422725
199,0.138834699988,0.124989822507,0.128153175116,0.126489698887
200,0.069039233029,0.053347367793,0.046898704022,0.043425045907
201,0.113532245159,0.102744020522,0.104012861848,0.102063268423
202,0.006278393790,0.001231912873,0.003608302446,0.004251827486
203,0.058882083744,0.050067484379,0.058029036969,0.057525817305
204,0.075409807265,0.057481545955,0.046233396977,0.042809266597
205,0.118562519550,0.107683613896,0.109055086970,0.109837651253
206,0.087420478463,0.073491387069,0.074119687080,0.072963513434
207,0.080176874995,0.069994643331,0.068179570138,0.069004565477
208,0.013399694115,0.005950133316,0.002260823501,0.002899606479
209,0.094526953995,0.086028337479,0.085042491555,0.083325088024
210,0.125416144729,0.117045350373,0.124953083694,0.126642867923
211,0.069321043789,0.059830363840,0.063396655023,0.064173087478
212,0.122966580093,0.116341345012,0.119926683605,0.119967460632
213,0.000690567249,0.000040538063,0.000021612563,0.000042176307
214,0.080936603248,0.069008223712,0.072424955666,0.072442352772
215,0.098202399909,0.084493696690,0.078969396651,0.073453098536
216,0.014025684446,0.004319809377,0.001603981131,0.001356785302
217,0.036973174661,0.021489394829,0.019147278741,0.018907679245
218,0.077969625592,0.070090375841,0.073862269521,0.071184404194
219,0.076159507036,0.062884084880,0.059403788298,0.060917463154
220,0.133320912719,0.122885748744,0.123657859862,0.127040192485
221,0.094818189740,0.080243051052,0.072774685919,0.068356178701
222,0.128905743361,0.119105271995,0.122563846409,0.118991032243
223,0.101116321981,0.086144506931,0.080672718585,0.079999454319
224,0.070445045829,0.062317166477,0.058875307441,0.062099020928
225,0.121609672904,0.113215975463,0.109521366656,0.111892402172
226,0.027647931129,0.016595482826,0.011848814785,0.010808518156
227,0.097791723907,0.087429009378,0.086970955133,0.094479091465
228,0.117214202881,0.108109176159,0.112248301506,0.111754648387
229,0.136568203568,0.125982388854,0.127217158675,0.124269790947
230,0.015973841771,0.008910955861,0.011644607410,0.009375176392
231,0.085207022727,0.078587442636,0.082028895617,0.084122471511
232,0.066808350384,0.062051735818,0.064961083233,0.062224015594
233,0.107947632670,0.102618753910,0.107808671892,0.111145146191
234,0.045909255743,0.038031667471,0.038737665862,0.037537239492
235,0.129497677088,0.115187764168,0.113630786538,0.110274605453
236,0.021084977314,0.004851789679,0.002009941265,0.002521930728
237,0.080051802099,0.073810115457,0.077013492584,0.078967079520
238,0.137262403965,0.126831009984,0.125983297825,0.124755866826
239,0.001557340147,0.000034851415,0.000826676900,0.000313504745
240,0.116004496813,0.095157079399,0.089789226651,0.089017584920
241,0.120386227965,0.109785623848,0.109419710934,0.108105249703
242,0.099361933768,0.085956580937,0.082882039249,0.082285672426
243,0.077988065779,0.070832945406,0.075181253254,0.075282871723
244,0.144240573049,0.128139868379,0.118205182254,0.119148299098
245,0.091342799366,0.079836517572,0.077118135989,0.086440958083
246,0.004857860506,0.001678840490,0.001326259691,0.000933624397
247,0.204083293676,0.197651922703,0.200074285269,0.197950899601
248,0.092911295593,0.086762212217,0.087373651564,0.087283179164
249,0.028775570914,0.017716119066,0.017670132220,0.020018320531
250,0.228146657348,0.226718738675,0.227411121130,0.227012887597
251,0.006206654478,0.000833165192,0.000780511706,0.001460978063
252,0.111855931580,0.096039429307,0.095426000655,0.100452251732
253,0.013818024658,0.006284745876,0.006941643078,0.006982471328
254,0.116582132876,0.105566322803,0.111333042383,0.109224684536
255,0.127309590578,0.117696717381,0.112375892699,0.113965250552
256,0.041723161936,0.027792626992,0.028520029038,0.026118783280
257,0.074522763491,0.065763659775,0.065620124340,0.065904811025
258,0.043571483344,0.029818601906,0.028941595927,0.031548466533
259,0.139286279678,0.129732266068,0.134454756975,0.131723821163
260,0.142772182822,0.125078096986,0.127049744129,0.124067202210
261,0.110936000943,0.102781914175,0.105279073119,0.106027379632
262,0.064718760550,0.047873154283,0.046396076679,0.046601917595
263,0.111049175262,0.095394179225,0.089369244874,0.092340447009
264,0.099757410586,0.079995617270,0.073597826064,0.070412032306
265,0.021369708702,0.010955052450,0.003847253742,0.007074169349
266,0.112808883190,0.101796381176,0.102529175580,0.101468570530
267,0.135600849986,0.123751550913,0.121845737100,0.117427416146
268,0.120616547763,0.109145425260,0.106463670731,0.103599578142
269,0.104217320681,0.090595662594,0.089590087533,0.089826680720
270,0.116542614996,0.105843417346,0.102708965540,0.104951746762
271,0.105410359800,0.094701088965,0.092494294047,0.091704756021
272,0.123917534947,0.108836032450,0.102621845901,0.104228653014
273,0.090893425047,0.082291670144,0.087678797543,0.088572859764
274,0.016192587093,0.007203782909,0.005865397863,0.004798622336
275,0.013128444552,0.007596825249,0.009831779636,0.012033837847
276,0.025940213352,0.008702616207,0.008290056139,0.007365560625
277,0.157204300165,0.135621801019,0.128799170256,0.125138446689
278,0.100327305496,0.083925023675,0.080528549850,0.078646704555
279,0.098416581750,0.084207989275,0.081273995340,0.079958274961
