,dec_0_self_dot_ratio_norm,dec_1_self_dot_ratio_norm,dec_2_self_dot_ratio_norm,dec_3_self_dot_ratio_norm,dec_4_self_dot_ratio_norm,dec_5_self_dot_ratio_norm,dec_6_self_dot_ratio_norm,dec_7_self_dot_ratio_norm,dec_8_self_dot_ratio_norm,dec_9_self_dot_ratio_norm,dec_10_self_dot_ratio_norm,dec_11_self_dot_ratio_norm,dec_12_self_dot_ratio_norm,dec_13_self_dot_ratio_norm,dec_14_self_dot_ratio_norm,dec_15_self_dot_ratio_norm
22,0.014336712,0.014335667,0.014332985,0.014333087,0.014337027,0.014330604,0.014334998,0.014336938,0.014332474,0.014342093,0.014342327,0.014331118,0.014339132,0.014333521,0.014336631,0.01433342
23,0.01432512,0.014325147,0.014324663,0.014326326,0.014323599,0.014327335,0.014326438,0.0143291205,0.014323338,0.014322718,0.014326552,0.014323441,0.014321017,0.014322943,0.014322054,0.014322488
24,0.014204288,0.01420654,0.0142068975,0.014213731,0.014210434,0.014209237,0.01421006,0.014205937,0.014206257,0.014213479,0.014208449,0.01420809,0.0142064765,0.014211469,0.014210448,0.014211615
25,0.014425656,0.014424753,0.014427199,0.014429439,0.01442826,0.014429311,0.014423919,0.014428078,0.014428017,0.014429394,0.01442855,0.0144274775,0.014422827,0.014426606,0.014429913,0.014425447
26,0.014312358,0.0143157765,0.014316113,0.0143122235,0.01431474,0.0143172685,0.01431531,0.01431505,0.014316445,0.014313637,0.014315587,0.014315095,0.014313624,0.014314444,0.014316805,0.0143158
27,0.014302597,0.014302006,0.01430045,0.014304178,0.01429857,0.014304574,0.014302463,0.014301779,0.014305266,0.014304029,0.014300711,0.014302622,0.014305086,0.014302132,0.014302903,0.014303052
28,0.014255978,0.014254986,0.0142534,0.0142569505,0.014261419,0.014256632,0.014258096,0.014253496,0.014258369,0.014254673,0.01425131,0.014257928,0.014255767,0.014255359,0.014254418,0.014252225
29,0.014333513,0.014338329,0.014332582,0.014333738,0.014331133,0.014332318,0.014337872,0.014332551,0.014334021,0.014333991,0.01433364,0.014331158,0.0143366605,0.014336397,0.01433442,0.014330969
30,0.014233235,0.014230149,0.014235087,0.014233395,0.014232612,0.0142351575,0.014231747,0.014231513,0.014230272,0.014236313,0.014230479,0.014228972,0.014233989,0.01422991,0.014231345,0.014232009
31,0.014365881,0.014363904,0.014368616,0.014364268,0.0143665215,0.014368063,0.014365048,0.014363703,0.014366311,0.014362105,0.014369944,0.014362993,0.014367351,0.01436471,0.014359483,0.0143668605
32,0.014397362,0.014399237,0.014400395,0.014399269,0.014399646,0.014399971,0.01440082,0.014399033,0.0143991215,0.014398467,0.014401876,0.014397954,0.014399896,0.014398726,0.014399674,0.014398369
33,0.0144177675,0.014420747,0.014419376,0.0144196255,0.014420541,0.014420045,0.014413474,0.014419555,0.014422829,0.0144193405,0.014421882,0.014415981,0.014422944,0.01441328,0.014418361,0.014420464
34,0.014379679,0.014378711,0.014381814,0.0143788215,0.01438263,0.014379728,0.014378926,0.014382248,0.014374174,0.014377941,0.014379698,0.014381463,0.014376211,0.014378076,0.014378704,0.0143825505
35,0.014381347,0.014380603,0.014377888,0.01437933,0.0143781295,0.014381562,0.014377665,0.014376666,0.0143767195,0.014378391,0.01437857,0.014377625,0.014381721,0.014374956,0.01438034,0.014375756
36,0.014378143,0.014375173,0.014376131,0.014375934,0.0143795,0.014376365,0.0143734785,0.014375456,0.014375505,0.014375285,0.0143741295,0.014380888,0.014378217,0.0143770715,0.01437817,0.014377097
37,0.01431274,0.014308215,0.01430726,0.014307296,0.014309783,0.0143075045,0.014308114,0.014302774,0.014305284,0.014307381,0.014305125,0.014307076,0.014306279,0.0143068405,0.014305269,0.014309172
