,dec_0_self_dot_ratio_norm,dec_1_self_dot_ratio_norm,dec_2_self_dot_ratio_norm,dec_3_self_dot_ratio_norm,dec_4_self_dot_ratio_norm,dec_5_self_dot_ratio_norm,dec_6_self_dot_ratio_norm,dec_7_self_dot_ratio_norm,dec_8_self_dot_ratio_norm,dec_9_self_dot_ratio_norm,dec_10_self_dot_ratio_norm,dec_11_self_dot_ratio_norm,dec_12_self_dot_ratio_norm,dec_13_self_dot_ratio_norm,dec_14_self_dot_ratio_norm,dec_15_self_dot_ratio_norm
48,0.0018849561,0.0018849701,0.0018847735,0.00188515,0.0018846719,0.0018848149,0.0018853201,0.0018849563,0.0018847845,0.0018846631,0.001884263,0.001884679,0.0018849197,0.0018844195,0.0018849628,0.0018849891
49,0.001888566,0.0018886952,0.0018889307,0.001888368,0.0018886331,0.0018883946,0.001888823,0.0018882838,0.0018887649,0.0018884136,0.0018884258,0.0018883101,0.0018884982,0.0018882296,0.001888902,0.0018889069
50,0.0018866156,0.0018871442,0.0018870089,0.0018872648,0.001886767,0.0018872112,0.0018873063,0.0018873591,0.0018868112,0.0018868878,0.0018875004,0.0018867907,0.001887114,0.0018871712,0.0018869163,0.0018867749
51,0.0018869055,0.0018864948,0.0018867842,0.0018865343,0.0018869033,0.0018864527,0.0018868522,0.0018867541,0.0018866553,0.0018868846,0.0018866293,0.001886319,0.0018868905,0.001886895,0.0018864584,0.0018865364
52,0.0018899954,0.0018900156,0.0018904075,0.0018906151,0.0018901924,0.001890387,0.0018897799,0.0018902111,0.0018904353,0.001890531,0.0018900253,0.0018903662,0.0018899634,0.0018901317,0.001890166,0.0018902479
53,0.0018709603,0.001870847,0.001871549,0.0018712131,0.0018712411,0.0018711278,0.0018705965,0.0018705793,0.001870725,0.0018707643,0.0018705735,0.0018708905,0.0018712792,0.001871063,0.0018713982,0.0018714615
54,0.0018814129,0.0018813816,0.001881579,0.0018814349,0.0018813852,0.0018813674,0.0018815927,0.001881522,0.0018820034,0.0018812744,0.0018819073,0.001881555,0.0018816036,0.0018818955,0.0018814424,0.0018810097
55,0.0018834205,0.0018838944,0.0018837184,0.0018834011,0.0018836999,0.0018834022,0.0018834647,0.0018834342,0.0018831422,0.0018829496,0.0018839011,0.0018835852,0.0018834361,0.0018838141,0.0018830473,0.0018832454
56,0.0018878193,0.0018875281,0.0018878382,0.001887331,0.0018874906,0.0018873191,0.0018874166,0.0018879336,0.0018879209,0.0018875337,0.0018875126,0.0018877527,0.0018875782,0.0018877971,0.0018881093,0.0018876274
57,0.0018902076,0.0018899146,0.0018901031,0.001889623,0.0018901171,0.0018898783,0.001889962,0.0018899924,0.0018898683,0.001890104,0.001890259,0.0018901937,0.0018902539,0.0018901955,0.0018900395,0.0018903629
