,dec_1_drift_from_origin,dec_2_drift_from_origin,dec_3_drift_from_origin,dec_4_drift_from_origin,dec_5_drift_from_origin,dec_6_drift_from_origin
108,0.2245642,0.23332918,0.23951018,0.22937864,0.21969748,0.20720935
109,0.8451593,0.8435071,0.8396222,0.8464866,0.8554687,0.8166764
110,0.72797513,0.7280018,0.74217355,0.7292129,0.7311646,0.732607
111,0.6576913,0.6642213,0.66994566,0.6509491,0.654252,0.6457968
112,0.63992643,0.6335781,0.65190613,0.6517936,0.6389123,0.63749194
113,0.7487003,0.74820536,0.7630668,0.7539706,0.76101923,0.74928755
114,0.76369125,0.7622355,0.77078485,0.7589499,0.7572602,0.76585585
115,0.846994,0.8532685,0.8577274,0.84291047,0.83760333,0.83227617
116,0.13871187,0.14617515,0.14172769,0.13141167,0.13209695,0.1091516
117,0.17523867,0.17367905,0.17712843,0.17367691,0.179636,0.18773365
118,0.20037818,0.20742607,0.19197547,0.17035484,0.13869971,0.13593799
119,0.7455414,0.74774003,0.742872,0.73795927,0.7402196,0.74723136
120,0.4318943,0.43783587,0.4454924,0.4326154,0.43897933,0.41175336
121,0.020088196,0.02170819,0.020319998,0.017049074,0.013883531,0.011513352
122,0.49369794,0.49004632,0.5034708,0.4939689,0.50005794,0.5157132
123,0.42306894,0.42668444,0.44554305,0.41601807,0.3985197,0.39319128
124,0.9127217,0.91102755,0.9183795,0.9131128,0.9160859,0.90011513
125,0.72714007,0.73999023,0.75446486,0.74724245,0.75490606,0.74321187
126,0.9159696,0.9130884,0.9129916,0.9016106,0.9082305,0.88975114
127,0.50902736,0.5051273,0.5083534,0.4983976,0.5025962,0.48724496
128,0.8030838,0.8106679,0.82885194,0.8142227,0.7905854,0.77735305
129,0.047425985,0.0490551,0.04844439,0.04343939,0.03959495,0.03549707
130,0.54060197,0.54980147,0.5579617,0.53110063,0.51356053,0.49536532
131,0.35746455,0.35696018,0.36845833,0.3509221,0.35381907,0.34407777
132,0.9393539,0.93372995,0.9373141,0.945839,0.952993,0.963941
133,0.8081884,0.817686,0.8251863,0.82346106,0.8140681,0.7728
134,0.9645951,0.978536,0.9869728,0.974785,0.9675824,0.9336641
135,0.85382867,0.8472648,0.8478793,0.84361553,0.853197,0.86757946
136,0.89009094,0.8847846,0.8943086,0.8803359,0.8738387,0.8658718
137,0.9293388,0.93720084,0.9441117,0.93819964,0.936491,0.94337535
138,0.9081562,0.91194934,0.9307039,0.9044393,0.90718627,0.8562679
139,0.3161102,0.32580948,0.29654408,0.28137273,0.26760507,0.27752888
140,0.77532935,0.7739409,0.78645164,0.76574814,0.75850284,0.735677
141,0.035586894,0.037186325,0.035730064,0.033023715,0.029782414,0.026881158
142,0.52491426,0.5272546,0.5316796,0.5085583,0.5003058,0.50691414
143,0.017510414,0.017969012,0.017855763,0.01690495,0.015534401,0.014651358
144,0.7237804,0.7247784,0.7385432,0.7263882,0.71955115,0.71174914
145,0.46339923,0.47081047,0.48445547,0.46909177,0.463629,0.45130724
146,0.18251383,0.18632507,0.19067305,0.174622,0.17004377,0.14687431
147,0.83863366,0.84293056,0.85682,0.8424284,0.82199216,0.80343866
148,0.99033064,0.98519665,0.9842789,1.0002631,0.99747527,1.000466
149,0.7215402,0.73179877,0.7465209,0.72035694,0.6924586,0.66474855
150,0.74320984,0.7491174,0.7570042,0.73877865,0.72467375,0.6746251
151,0.76554686,0.7656102,0.78020954,0.77043986,0.7636704,0.75360465
152,0.8291466,0.836585,0.8493203,0.8283663,0.8084376,0.7846943
153,0.86290133,0.8657578,0.8774743,0.8684448,0.8612196,0.817468
154,0.76035047,0.7628554,0.7613744,0.75810987,0.7547072,0.7535797
155,0.8356782,0.8414626,0.8585297,0.8482479,0.8388958,0.79934084
156,0.7485446,0.75379443,0.7675066,0.75303894,0.7449268,0.7248037
157,0.122686744,0.12448037,0.12725472,0.118628085,0.1131956,0.108056426
158,0.46710455,0.47198182,0.48575586,0.46360135,0.4712038,0.48821396
159,0.36468726,0.36944687,0.37173432,0.36156577,0.361588,0.31918228
160,0.85898286,0.8653426,0.87767625,0.85454845,0.84401923,0.81949127
161,0.8522281,0.84687436,0.85477495,0.8437718,0.8463063,0.8480284
162,0.5954705,0.5953147,0.60107136,0.59385514,0.590996,0.5903097
163,0.6718489,0.67386115,0.68990785,0.6666875,0.64015174,0.6532943
164,0.79980594,0.80435455,0.81524694,0.7968143,0.78668725,0.73450816
165,0.8426112,0.84142977,0.8444897,0.83153975,0.8205148,0.8011863
166,0.8141586,0.8209319,0.83120733,0.8171045,0.8042923,0.78385454
167,0.7618139,0.7646613,0.7614017,0.7416872,0.73203063,0.67877007
168,0.5100418,0.5070498,0.51900375,0.50220656,0.47356343,0.45485413
169,0.4505961,0.44958383,0.45992917,0.44446915,0.43242192,0.4325875
170,0.77881956,0.77965486,0.79812133,0.77849215,0.74177396,0.7009034
171,0.22156256,0.22463161,0.23423749,0.22142017,0.21600896,0.21105468
172,0.8015021,0.8083619,0.81822085,0.8067215,0.79913443,0.7740443
173,0.63857496,0.6405014,0.6458795,0.6394453,0.6365551,0.64078367
174,0.8024914,0.8033114,0.8064888,0.79916763,0.78633726,0.7593794
175,0.73855484,0.7408103,0.74823934,0.7261758,0.72496927,0.7206135
176,0.8567387,0.85634875,0.8734533,0.84784067,0.84277755,0.7933613
177,0.8678864,0.8759105,0.88157994,0.8627303,0.8374905,0.841435
178,0.38026416,0.38211107,0.39408636,0.38949382,0.3921665,0.40734243
179,1.0375422,1.0272506,1.0398352,1.0459956,1.0310618,0.9516325
180,0.8382022,0.8508998,0.8602583,0.84370136,0.8328482,0.8139854
181,0.5228741,0.52281696,0.5347498,0.51394206,0.5093658,0.492653
182,0.98424065,0.9881134,0.99543315,0.98375875,0.99828094,1.0006356
183,0.7895061,0.786128,0.79085445,0.7750282,0.77002585,0.72983575
184,0.082270265,0.082974434,0.08385974,0.08071512,0.07748932,0.07531911
185,0.6558531,0.67015463,0.680562,0.6650968,0.6619948,0.65861726
186,0.83176655,0.827548,0.8383495,0.82803243,0.8217867,0.81480175
187,0.7882384,0.7949571,0.80017114,0.77361476,0.7602659,0.7206822
188,0.905139,0.90131193,0.89730954,0.8946623,0.89844114,0.9254632
189,0.61575544,0.6124897,0.62802994,0.60891414,0.6263145,0.63133013
190,0.7022548,0.70410365,0.7205611,0.6978166,0.6911901,0.6566347
191,0.74217874,0.7455256,0.74513,0.7358198,0.7352539,0.7278763
192,0.71829206,0.72277653,0.7279293,0.7103287,0.6961635,0.6844965
193,0.30110586,0.30293542,0.31273556,0.29904073,0.28752685,0.2873298
194,0.7481955,0.7510844,0.7670247,0.7436322,0.7213433,0.69280696
195,0.86403465,0.869526,0.87866354,0.8698889,0.86591226,0.8727168
196,0.4976862,0.50042486,0.51273316,0.5035268,0.49935573,0.49261934
197,0.7221506,0.7180768,0.72714984,0.7122513,0.7130661,0.74114776
198,0.8690647,0.86588556,0.8645918,0.866162,0.862352,0.8339586
199,0.3544985,0.3570062,0.3731917,0.35639417,0.34428644,0.3220018
200,0.5096705,0.49956852,0.5136291,0.50884366,0.5106559,0.5056037
201,1.0160447,1.0107605,1.0157367,1.022553,1.0217775,1.0065113
202,0.8690763,0.86498576,0.8814405,0.86262035,0.8484165,0.8442462
203,0.24158311,0.25446737,0.24452162,0.20360643,0.16367507,0.16298312
204,0.99539524,1.0031286,1.004503,0.98922485,0.99565774,0.9889641
205,0.700987,0.7102988,0.73158646,0.71054924,0.68942183,0.6697207
206,0.9505836,0.94558364,0.9307101,0.94020885,0.94388485,0.9612067
207,0.70455384,0.71446204,0.7305272,0.7090603,0.7091515,0.66774434
208,0.8793012,0.8878662,0.9064059,0.8942027,0.8730855,0.8137153
209,0.03438258,0.03621441,0.03428608,0.029884577,0.026216626,0.024549365
210,0.987339,0.9888388,0.9822544,0.97917724,0.9429894,0.92596155
211,0.6246646,0.63344723,0.63682747,0.6009759,0.5653573,0.5157666
212,0.792323,0.80117154,0.81721157,0.79238456,0.7906983,0.7625433
213,0.023403943,0.024084926,0.02402711,0.022552967,0.020967722,0.019062102
214,0.81759167,0.82707393,0.83579266,0.81938875,0.7926831,0.75671977
215,0.19911522,0.19841278,0.20325518,0.1942854,0.18886107,0.17772633
216,0.77491194,0.7758766,0.7802,0.75918746,0.73877704,0.695047
217,0.62738675,0.62170786,0.61102986,0.6000531,0.6016643,0.563779
218,0.7739462,0.76577073,0.7708295,0.7499144,0.7385595,0.731768
219,0.022487283,0.023555994,0.021574378,0.018927097,0.014890254,0.012697518
220,0.07762241,0.07836419,0.07913333,0.076669335,0.071362376,0.06700069
221,0.803202,0.80872715,0.8147433,0.794396,0.8004834,0.8299986
222,0.0508036,0.05133313,0.05112028,0.050108135,0.049174726,0.048695207
223,0.05870694,0.059239864,0.05907607,0.058290243,0.058183074,0.057490885
224,0.8285811,0.8431132,0.8554826,0.83940744,0.8287131,0.8123307
225,0.16514152,0.16730571,0.16751033,0.16079819,0.15916389,0.14575016
226,0.90821654,0.90912515,0.9034789,0.90410644,0.8964909,0.8811802
227,0.84983003,0.85239613,0.8636149,0.85130715,0.8387951,0.81181717
228,0.7639669,0.7632001,0.7732216,0.75690454,0.7343943,0.6860318
229,0.553073,0.550519,0.5602608,0.54166085,0.5460421,0.5450977
230,0.65719116,0.65975684,0.68144643,0.6717666,0.68310016,0.6859616
231,0.74948204,0.7472936,0.76364666,0.74928796,0.73882926,0.7347997
232,0.47431004,0.48378706,0.48931015,0.4878438,0.47804302,0.4753815
233,0.03534949,0.03938222,0.033685803,0.02513516,0.020234108,0.0198071
234,0.67154014,0.6689391,0.6779021,0.6672168,0.6621989,0.65679276
235,0.7891379,0.790243,0.7923776,0.7878269,0.789092,0.7657499
236,0.6755124,0.66971374,0.6774312,0.66930395,0.6757346,0.6717224
237,0.7918284,0.8002595,0.8091926,0.79390454,0.80351067,0.7686387
238,0.012882948,0.013047397,0.012721658,0.012129188,0.011441469,0.010823131
239,0.6400051,0.6453581,0.6611261,0.63243806,0.6081393,0.5893836
240,0.8067434,0.81132525,0.8206604,0.81954956,0.8167856,0.77711594
241,0.04870528,0.049085498,0.048395813,0.047623754,0.046527624,0.04553199
242,0.9872246,0.9862575,0.98375905,0.98855656,1.0035536,0.97249687
243,0.5584366,0.55500543,0.5737958,0.5533961,0.55296993,0.5475515
244,0.8853611,0.8868976,0.8798084,0.87510353,0.8726461,0.8849164
245,0.9958162,0.99740624,0.9896662,0.99170995,0.9872679,1.0370051
246,0.9256654,0.93282294,0.94136816,0.92804545,0.9150954,0.84499574
247,0.6422229,0.65227795,0.671565,0.6533157,0.65215254,0.6315067
248,0.8021728,0.8012589,0.81334645,0.7994964,0.7798481,0.7853193
249,0.2901911,0.29225314,0.3053174,0.29537088,0.2857225,0.31573313
250,0.70992446,0.7119879,0.7248603,0.7064808,0.69009006,0.6641165
251,0.6979782,0.6974778,0.69689333,0.6908308,0.66057885,0.64974606
252,0.8060893,0.808134,0.830548,0.8145009,0.7895138,0.75568366
253,0.74704844,0.7549209,0.7660847,0.75274473,0.73781604,0.72582453
254,0.5962628,0.60706234,0.60766447,0.57801425,0.56235343,0.5416163
255,0.839711,0.84179515,0.8419015,0.8320373,0.8457631,0.81110114
256,0.8180597,0.8208072,0.8223797,0.8167845,0.81789505,0.81792724
257,0.6668849,0.6710134,0.6711783,0.6429713,0.5987882,0.55657417
258,0.65801376,0.662145,0.6808257,0.6520961,0.64078116,0.6254841
259,0.84684294,0.8452083,0.8483641,0.84762347,0.8535099,0.8399426
260,0.67271864,0.6704252,0.66963786,0.66536677,0.6443949,0.63030684
261,0.7981612,0.8056995,0.80381227,0.7850903,0.75923866,0.72224563
262,0.7894331,0.79360783,0.7965319,0.7814983,0.7723318,0.75478107
263,0.97625613,0.99353164,0.97465646,0.9819049,0.9616626,0.91190416
264,0.56553197,0.5646377,0.57127285,0.56172234,0.5501925,0.5536736
